Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop
CO_326:0000056,SNutGermPct_Comp_Pct,MAX_PERC,Characterization/evaluation: Germination,Seed bed,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44259,EN,Coconut
CO_326:0000335,FrSEndDryMt_Meas_Pct,S_E_DR_MAT,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000338,FrSEndDryMt_CompM_Pct,S_E_DR_MAT,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000340,FrSEndDryMt_CompSD_Pct,SD31,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000342,FrDrySEndOil_Meas_Pct,DR_ME_OIL,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000345,FrDrySEndOil_CompM_Pct,SD36,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000347,FrDrySEndOil_CompSD_Pct,FR_ME_OIL,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000349,FrSEndOil_Comp_Pct,FR_ME_OIL,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000352,FrSEndOil_CompM_Pct,FR_ME_OIL,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000354,FrSEndOil_CompSD_Pct,SD37,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000356,FrHuskPct_Comp_Pct,,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Recommended,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000359,FrNutPct_Comp_Pct,,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Recommended,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000362,FrShellNPct_Comp_Pct,,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Recommended,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000365,FrMeatNPct_Comp_Pct,,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Recommended,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000368,FrWatNPct_Comp_Pct,,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Recommended,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000384,YMortality_Comp_Pct,MORTALITY,Characterization/evaluation: Fruit Yield,Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000390,YBunch_Count_BunchPerYear,BUN_P_Y_NB,Characterization/evaluation: Fruit Yield,Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000394,YBunch_CompM_BunchPerYear,BUN_P_Y_NB,Characterization/evaluation: Fruit Yield,Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000396,YBunch_CompSD_BunchPerYear,SD32,Characterization/evaluation: Fruit Yield,Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000071,StmGir_Meas_cm_H20,GIR_20,Characterization/evaluation: Stem Morphology,Mature,Standard COGENT,,CIRAD,Bocs https://orcid.org/0000-0001-7850-4426,43920,EN,Coconut
CO_326:0000075,StmGir_CompM_cm_H20,GIR_20,Characterization/evaluation: Stem Morphology,Mature,Standard COGENT,,CIRAD,Bocs https://orcid.org/0000-0001-7850-4426,43920,EN,Coconut
CO_326:0000077,StmGir_CompSD_cm_H20,SD38,Characterization/evaluation: Stem Morphology,Mature,Standard COGENT,,CIRAD,Bocs https://orcid.org/0000-0001-7850-4426,43920,EN,Coconut
CO_326:0000079,StmGir_Meas_cm_H150,GIR_150,Characterization/evaluation: Stem Morphology,Mature,Standard COGENT,,CIRAD,Bocs https://orcid.org/0000-0001-7850-4426,43920,EN,Coconut
CO_326:0000081,StmGir_CompM_cm_H150,GIR_150,Characterization/evaluation: Stem Morphology,Mature,Standard COGENT,,CIRAD,Bocs https://orcid.org/0000-0001-7850-4426,43920,EN,Coconut
CO_326:0000083,StmGir_CompSD_cm_H150,SD39,Characterization/evaluation: Stem Morphology,Mature,Standard COGENT,,CIRAD,Bocs https://orcid.org/0000-0001-7850-4426,43920,EN,Coconut
CO_326:0000089,Stm10IntnHt_Meas_cm,LEA_SC_HEI,Characterization/evaluation: Stem Morphology,Mature,Standard COGENT,,CIRAD,Bocs https://orcid.org/0000-0001-7850-4426,43920,EN,Coconut
CO_326:0000092,Stm10IntnHt_CompM_cm,LEA_SC_HEI,Characterization/evaluation: Stem Morphology,Mature,Standard COGENT,,CIRAD,Bocs https://orcid.org/0000-0001-7850-4426,43920,EN,Coconut
CO_326:0000094,Stm10IntnHt_CompSD_cm,SD43,Characterization/evaluation: Stem Morphology,Mature,Standard COGENT,,CIRAD,Bocs https://orcid.org/0000-0001-7850-4426,43920,EN,Coconut
CO_326:0000099,StmHt_Meas_cm_T1,HEIGHT1,Characterization/evaluation: Stem,Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44167,EN,Coconut
CO_326:0000102,StmHt_compM_cm_T1,HEIGHT1,Characterization/evaluation: Stem,Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44167,EN,Coconut
CO_326:0000104,StmHt_compSD_cm_T1,SD40,Characterization/evaluation: Stem,Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44167,EN,Coconut
CO_326:0000108,StmHt_Meas_cm_T2,HEIGHT2,Characterization/evaluation: Stem,Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44167,EN,Coconut
CO_326:0000110,StmHt_compM_cm_T2,HEIGHT2,Characterization/evaluation: Stem,Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44167,EN,Coconut
CO_326:0000112,StmHt_compSD_cm_T2,SD41,Characterization/evaluation: Stem,Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44167,EN,Coconut
CO_326:0000120,LeafPetLen_Meas_cm,PETIO_LEN,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44278,EN,Coconut
CO_326:0000123,LeafPetLen_CompM_cm,PETIO_LEN,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44257,EN,Coconut
CO_326:0000125,LeafPetLen_CompSD_cm,SD2,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44257,EN,Coconut
CO_326:0000127,LeafPetWdt_Meas_cm,PETIO_WID,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44278,EN,Coconut
CO_326:0000130,LeafPetWd_CompM_cm,PETIO_WID,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44257,EN,Coconut
CO_326:0000132,LeafPetWd_CompSD_cm,SD3,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44257,EN,Coconut
CO_326:0000134,LeafPetThk_Meas_cm,PETIO_THIC,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44278,EN,Coconut
CO_326:0000137,LeafPetThk_CompM_cm,PETIO_THIC,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44257,EN,Coconut
CO_326:0000139,LeafPetThk_CompSD_cm,SD4,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44257,EN,Coconut
CO_326:0000141,LeafRacLen_Meas_cm,RACHIS_LEN,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44278,EN,Coconut
CO_326:0000144,LeafRacLen_CompM_cm,RACHIS_LEN,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44257,EN,Coconut
CO_326:0000146,LeafRacLen_CompSD_cm,SD5,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44257,EN,Coconut
CO_326:0000156,LeafLltLen_Meas_cm,LEALT_LEN,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44278,EN,Coconut
CO_326:0000159,LeafLltLen_CompM_cm,LEALT_LEN,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44257,EN,Coconut
CO_326:0000161,LeafLltLen_CompSD_cm,SD7,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44257,EN,Coconut
CO_326:0000163,LeafLltWd_Mea_cm,LEALT_WID,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44278,EN,Coconut
CO_326:0000166,LeafLltWd_CompM_cm,LEALT_WID,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44257,EN,Coconut
CO_326:0000168,LeafLltWd_CompSD_cm,SD8,Characterization/evaluation: Leaf Morphology,Mature,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44257,EN,Coconut
CO_326:0000178,InflCAxLen_Meas_cm,CEN_AX_LEN,Characterization/evaluation: inflorescence,Mature,Standard COGENT,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000181,InflCAxLen_CompM_cm,CEN_AX_LEN,Characterization/evaluation: inflorescence,Mature,Standard COGENT,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000183,InflCAxLen_CompSD_cm,SD10,Characterization/evaluation: inflorescence,Mature,Standard COGENT,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000185,InflStlkLen_Meas_cm,,Characterization/evaluation: inflorescence,Mature,Recommended,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000188,InflStlkLen_CompM_cm,STALK_LEN,Characterization/evaluation: inflorescence,Mature,Standard COGENT,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000190,InflStlkLen_CompSD_cm,SD11,Characterization/evaluation: inflorescence,Mature,Standard COGENT,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000192,InflStlkGir_Meas_cm,,Characterization/evaluation: inflorescence,Mature,Recommended,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000195,InflStlkGir_CompM_cm,STALK_GIR,Characterization/evaluation: inflorescence,Mature,Standard COGENT,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000197,InflStlkGir_CompSD_cm,SD12,Characterization/evaluation: inflorescence,Mature,Standard COGENT,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000199,InflStlkWd_CompM_cm,STALK_WIDT,Characterization/evaluation: inflorescence,Mature,Standard COGENT,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000202,InflStlkWd_CompSD_cm,SD44,Characterization/evaluation: inflorescence,Mature,Standard COGENT,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000204,InflStlkThk_CompM_cm,STALK_THIC,Characterization/evaluation: inflorescence,Mature,Standard COGENT,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000207,InflStlkThk_CompSD_cm,SD45,Characterization/evaluation: inflorescence,Mature,Standard COGENT,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000223,InflSpikLen_Meas_cm,,Characterization/evaluation: inflorescence,Mature,Recommended,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000226,InflSpikLen_CompM_cm,SPIKLT_LEN,Characterization/evaluation: inflorescence,Mature,Standard COGENT,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000228,InflSpikLen_CompSD_cm,SD15,Characterization/evaluation: inflorescence,Mature,Standard COGENT,,CIRAD,Garavito A. https://orcid.org/0000-0002-0864-8608,44258,EN,Coconut
CO_326:0000114,StmHtGrRate_Meas_cmPerYear,,Characterization/evaluation: Stem,Mature,Recommended,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44167,EN,Coconut
CO_326:0000118,StmHtGrRate_Comp_cmPerYear,,Characterization/evaluation: Stem,Mature,Recommended,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44167,EN,Coconut
CO_326:0000573,SrcPIsol__Code,ADJ_ISOL,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000577,SrcPNeighbor_Code,ADJ_TYPE,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000085,StmBolCat_Desc_code,BOLE_CAT,Characterization/evaluation: Stem Morphology,Mature,Standard COGENT,,CIRAD,Bocs https://orcid.org/0000-0001-7850-4426,43920,EN,Coconut
CO_326:0000581,SrcPCollProcv,COLL_PRO,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000569,SrcPContext_Code,COLL_SRCE,Passport: Collection data,Permanent,Standard COGENT,SrcPInfo_Text,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000641,SrcPCropSys_Code,CROP_SYST,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000685,SrcPCrownApp_Code,CROWN,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000645,SrcPCultStat_Code,CULT_STAT,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000601,SrcPECStat_Code,EMBR_CULT,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000666,SrcPSpicF_Code,SPICATA,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000670,SrcPPlicF_Code,PLICATA,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000673,SrcPAndF_Code,ANDROGENA,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000676,SrcPMakF_Code,MAKAPUNO,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000682,SrcPAltCarF_Code,OTHER_FREQ,Passport: Collection data,Permanent,Standard COGENT,SrcPAltCar_CAR,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
CO_326:0000593,SrcPAppear_Code,APPEARANCE,Passport: Collection data,Permanent,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44474,EN,Coconut
